1,review,sentiment
12,"Mr Baseball was a fun video rental with my Fiancé Susan Nauss. Susan said that she had been looking forward to seeing the movie. Ken Takakura Oda as a tough yet Honorable Manager makes sense. Ken Takakura has made so many wonderful Asian movies, I correct the one reviewer and say Takakura is still a Cinematic Presence with films like Hotari. Of course everyone likes Tom Selleck yet Ken Takakura is the better dramatic actor of the two. Today someone accused me of being Yakuza, well I say that My Great Uncle Shadow President Jack F Kennedy myself and others are part of the legitimate Human leadership in our Universe and thanks to our coCreators Humans are free people fighting all the parts of adversity that President Kennedy talked about in his inaugural address. To be honest someone has kept food prices very low in Canada on things like bread. In honor of our CoCreators please stop eating amphibians reptiles and eggs. I hope that there will one day be a sequel to Mr Baseball with Father Ken Takakura Oda still as Manager. Thank you to IMDb for supporting freedom of speech like the kind President George W Bush and I support. Support IMDb.",positive
13,"Dr. Marnie Bannister (Magda Konopka) is a horribly disfigured woman. When one of her colleagues discovers a rejuvenation formula, Marnie sees it as her opportunity to become beautiful. When she's denied the drug because of possible side effects, she kills her colleague to get what she wants. The drug works and she becomes beautiful. But the formula brings out the worst in her and it's not long before she's left a string of bodies behind her.<br /><br />Have you ever heard the expression ""as exciting as watching paint dry""? That pretty much sums up Satanik. During the film, one of the characters utters the line, ""Something so horrible, it's inconceivable."" I wasn't sure if he was talking about something in movie or the movie itself. I'm really disappointed because I had high hopes for this one. Satanik had possibilities, but they're never realized. At every opportunity, the plot has Marnie do the dullest things imaginable. The writing is horrible. And part of the problem is Magda Konopka. She's not that appealing and cannot carry the film on her own.<br /><br />Another big problem with Satanik is the direction and editing. It's a mess. We see things and places that have no bearing on anything in the movie. The camera lingers on shots too long after the scene is over. I can't think of a single shot that would call anything but unoriginal. This group of filmmakers exhibits little in the way of imagination or talent.<br /><br />I may not be familiar with the Italian comic on which Satanik is supposedly based, but I'm sure it's got to be better than this.",negative
14,"I'm lucky enough to have a good quality copy of my VHS on DVD so I can now watch this over and over again. The characters are so well played I can't find fault with any aspect of the casting. OK, so there are a few differences from the book, but the old cliché of love conquering all is so powerfully portrayed that it makes no difference. The reality of living in the rural countryside of early 19th century England is beautifully contrasted by the changing seasons, from biting winter to glorious summer days and this is mirrored in the different characters, from Prue's bullying father to Kester's all encompassing love. A story that changed my life.",positive
15,Kurosawa really blew it on this one. Every genius is allowed a failure. The concept is fine but the execution is badly blurred.<br /><br />There is an air of fantasy about this film making it something of an art film. The poverty stricken of Tokyo deserve a fairer and more realistic portrayal. Many of them have interesting stories to tell. A very disappointing film.,negative
16,"""Extreme Makeover: Home Edition"" is yet another 'feel-goody', so-called 'heart warming', and out-for-ratings show that ABC has had the time to put together.<br /><br />I understand the troubles that these families go through. For that, I am sorry. But wouldn't you think that putting four wide-screen plasma televisions, three flat-screen desktop computers, an inground pool taking up half of a backyard, and closets full of expensive designer clothing is a BIT too excessive for ANY family? Sure, these families have been through a lot. Sure, they deserve nicer things that what they had previously had.<br /><br />But honestly, the things that Ty Pennington and his crew put into these houses are enough to suit an entire neighborhood.<br /><br />Another thing that really irks me about this show is how Ty and his crew always have something good to say about every little thing that relates to the family, or the family's condition. Telling a wheelchair-bound person that he or she is 'so strong', or 'very brave' really does get old after a while. That may sound rude, but believe me; watch this show, and you'll see what I mean.<br /><br />All in all, this show is overrated. If you want to watch it, go ahead. This comment is just a heads-up for what you'd be watching.",negative
17,"This movie is a real gem. The arc of the the plot is defined in the first 3 minutes, the characters are sympathetic and clearly drawn, their motives completely believable. The dialogue is fresh, and oh so real. The situations are unique to the characters and not at all cliched or hackneyed. Until the climax, that is. Then it's as if the movie went off the rails a bit and it got a bit hokey and unbelievable. But I don't want to discourage people from watching this film. The first 3/4's of it are truly remarkable. I gave it an 8. There are some remarkable performances here. Check out this movie.",positive
18,"Little Mosque is one of the most boring CBC comedies I have ever seen. They have a way of producing the easiest comedy programming they can for the oldest most-easily-offended viewers which for CBC means 85 year old farmers in Saskatchewan. The jokes are all predictable and so deathly lame I can't believe it. The performances are very hammy and over acted but I don't blame the actors since those kind of one dimensional stereotyped characters are probably exactly what the CBC asked for and demanded. Very lame show with bad jokes they tried to present as ""controversial"" well it is less controversial than the other boring CBC comedies like The Hour Has 22 Minutes, Royal Canadian Air Farce and Rick Mercer's Report.",negative
19,"I have read all of Shakespeare's plays, seen productions of a majority of them and even acted in and directed some. I do not necessarily believe that Shakespeare must be done in the ""traditional"" fashion, but I hated this movie.<br /><br />There is nudity that is gratuitous and unnecessary. There is grotesqueness that is far beyond what I believe Shakespeare intended. Some of the dialogue is incomprehensible, and there are those elements, like the singing and dancing that add no meaning to the movie, but replace Shakespeare with the director's self-indulgences.<br /><br />I am sorry to say that I wasted perfectly good money to buy the DVD of this movie.",negative
20,"!!!! POSSIBLE MILD SPOILER !!!!!<br /><br />As I watched the first half of GUILTY AS SIN I couldn`t believe it was made in 1993 because it played like a JAGGED EDGE / Joe Eszterhas clone from the mid 80s . It starts with a murder and it`s left for the audience to muse "" Is he guilty or innocent and will he go to bed with his attorney ? "" , but halfway through the film shows its early 90s credentials by turning into a "" Lawyer gets manipulated and stalked by her client "" type film which ends in a ridiculous manner , and GUILTY AS SIN has an even more ridiculous ending in this respect .<br /><br />This is a very poor thriller but the most unforgivable thing about it is that it was directed by Sidney Lumet the same man who brought us the all time classic court room drama 12 ANGRY MEN",negative
21,"If it wasn't meant to be a comedy, the filmmakers sure goofed. If they intended for it to be a comedy, they hit the mark. Our critic says Homegrown is a wonderful film filled with family values and community spirit, recommends it for all audiences, and says that he really liked Jamie Lee Curtis's performance. It deserves a theatrical re-release.",positive
22,"This movie is absolutely pointless, one of the good esamples how Malcom McDowall never got one decent role after Clockwork Orange. This one may be one of the worst though. No story, crappy special effects, shot in 4:3/or even worse cropped on DVD, just avoid it ....",negative
23,"Film is designed to affect the audience and this film left me speechless. Gorgeously photographed and well acted with dialog that approaches poetry the film involves lust, hate, murder, rape, theft and deception. It weaves an intense web that left me unable to take my eyes off the screen until the closing credits. The story is sweeping. It takes the audience from the atrocities of the Spanish Civil War to the human wreckage left behind. Roger Casamajor and Bruno Bertanzoni are two young actors who command the screen. Supporting players are excellently cast and lend a real sense of authenticity. Sets, lighting, scenery and cinematography are wonderful. I absolutely love the photography.",positive
24,"This movie received a great write up in Blockbusters 'coming attraction' I was looking forward to the release date,08/07/02. The plot sounds reasonable, the cast alone should have guaranteed a side-splitter, but whoa there; apart from the 'off the wall betting events' this was quite a bore.<br /><br />This will never become a comedy classic, and I'm afraid it has done no help to the fine comedy reputation of John Cleese. Rowan Atkinson, now he was quite funny, in a Rowan Atkinson sort of way!",negative
25,"I was living in Barstow Ca. in 1968 when the movie The Killers Three arrived at the local theater. The trailer was enough to get me to pay my hard earned money to see this movie. I was really expecting a Bonnie And Clyde movie and I got Dick Clark playing a shy nerdy guy while Robert Walker and Diane Varsi played an poor attempt of reinacting Bonnie and Clyde. Needless to say it never went over well. Maybe this is why it never made it to video. Even as a kid I was left some what ripped off as I left the theater. After all the best parts where in the trailer of the movie. The movie was dull and pretty much pointless. By the way, Dick Clark gets killed so it wasn't a total let down.",negative
26,"This film is one to spend the short while, entertainment, but who then could be made in nobody country it does not have anything identifies ""the Colombian"". Who looks for the topics of the supposed Colombian or socially and politically correct cinema and what it is denominated ""it jeopardize"",it is better than it is not going to see this film. Some to the drug traffic, or the fight is no reference either farmer and worker, or wing guerrilla and to the kidnapping political. <br /><br />The corrupt police is a personage who it could be Mexican, Russian, Italian or Chinese, and also the personage protagonist, an Argentine photographer, it could be Venezuelan, Peruvian or Philippine and the frequent ""boludo"" in its parliaments it could be replaced by another word of slang of any other country without the personage or history changes. The important thing is that it is a very decently counted history with images and right performances. Its quality almost is of TV movie but of the good ones. That if one film like this if it deserves or does not deserve the support with publics bottoms a little is a classic discussion ""mamerta"".",positive
27,"In THE BARBARIAN AND THE GEISHA, John Wayne plays Townsend Harris, a real envoy from the United States who was responsible for truly opening up Japan to International relations in the late 1850s. Before him, Commodore Perry basically pushed into Japan with gunboats and forced a treaty upon the Japanese in 1853. Harris, who arrived just a bit later, worked through the details and helped ensure compliance--as many of the Japanese felt no particular inclination to honor the first treaty. All this is true and shown in the film. According to some other sources I found, the romance between Harris and a Japanese Geisha is mostly fiction and this romance is much of the focus of this film (hence, the title).<br /><br />My first reaction the first time I saw this movie was one of surprise. John Wayne as a diplomat?! When he's being diplomatic in most films, he says please and thank you as he pummels people!!!! So seeing him playing a man who is NOT a man of action and is able to play the diplomatic game seemed very odd indeed. In fact, I can't think of too many actors in 1958 who would have been more unusual for this role. By the way, I've seen photos of Harris and Wayne has practically no resemblance to him at all.<br /><br />However, despite the story taking a lot of liberties with the truth and the strange casting, the film is still very watchable. The color cinematography is nice, the film shows some nice insights into Japanese customs and culture and the acting isn't bad. All in all, a likable and watchable film despite it's odd casting.<br /><br />PS--Read through the trivia for this film. You find out a bit more about the real life characters as well as a supposed fight between Wayne and the director (John Huston) where Wayne apparently knocked him out!! Based on what I've read about Huston and the way he got along with actors, this is an incident I tend to believe. And, it's also a nice example of John Wayne ""diplomacy"".",positive
28,"First of all, the reason I'm giving this film 2 stars instead of 1 is because at least Peter Falk gave his usual fantastic performance as Lieutenant Columbo. He alone can get 10 stars for trying to save this otherwise utterly worthless attempt at making a movie.<br /><br />I was initially all fired up at reading one poster's comment that Andrew Stevens in this movie gave ""the performance of his career."" To me, it was the abysmal performance by Stevens that absolutely ruined this movie, and so I was all prepared to hurl all sorts of insults at the person who made the aforementioned comment. Then I thought to myself, what else has Stevens done? So I checked and, you know, that person was absolutely right. In the 17 years since this Columbo movie was made, apparently every one of the 33 projects that Stevens has been in since then has been utter crap, so it is doubtful that anybody has even seen the rest of his career.<br /><br />If you like Columbo, see every other of the 69 titles before watching this one. Do yourself a favor and save the worst for last.",negative
29,"Well where do I begin my story?? I went to this movie tonight with a few friends not knowing more than the Actors that were in it, and that it was supposed to be a horror movie.<br /><br />Well I figured out within the first 20 minutes, what a poor decision I had made going out seeing this movie. The Plot was crap, and so was the script. The lines were horrible to the point that people in the audience were laughing hysterically.<br /><br />The cast couldn't have been more plastic looking. Even some of the scenes seemed like they should have been made much quicker...like they dragged on for no particular reason. Very poor editing.<br /><br />All in all this movie was a giant waste of time and money. Boo.",negative
30,"For years I thought this knockabout service comedy was a product of John Ford, especially with Victor McLaglen as one of the leads. It certainly has the same rough house humor that Ford laces his films with. <br /><br />To my surprise I learned it was George Stevens who actually directed it. Still I refuse to believe that this film wasn't offered to John Ford, but he was probably off in Monument Valley making Stagecoach.<br /><br />Victor McLaglen along with Cary Grant and Douglas Fairbanks, Jr., play three sergeants in the Indian Army who have a nice buddy/buddy/buddy camaraderie going. But the old gang is breaking up because Fairbanks is engaged to marry Joan Fontaine. Not if his two pals can help it, aided and abetted by regimental beastie Gunga Din as played by Sam Jaffe.<br /><br />The Rudyard Kipling poem served as the inspiration for this RKO film about barracks life in the British Raj. The comic playing of the leads is so good that it does overshadow the incredibly racist message of the film. Not that the makers were racist, but this was the assumption of the British there at the time, including our leads and Gunga Din shows this most effectively.<br /><br />The British took India by increments, making deals here and there with local rulers under a weak Mogul emperor who was done away with in the middle of the 19th century. They ruled very little of India outright, that would have been impossible. Their rule depended on the native troops you see here. Note that the soldiers cannot rise above the rank of corporal and Gunga Din is considerably lower in status than that.<br /><br />Note here that the rebels in fact are Hindu, not Moslem. There are as many strains of that religion as there are Christian sects and this strangling cult was quite real. Of course to those being strangled they might not have the same view of them as liberators. But until India organized its independence movement, until the Congress Party came into being, these people were the voice of a free India.<br /><br />But however you slice it, strangling people isn't a nice thing to do and the British had their point here also. When I watch Gunga Din, I think of Star Trek and the reason the prime directive came into being.<br /><br />Cary Grant got to play his real cockney self here instead of the urbane Cary we're used to seeing. Fairbanks and McLaglen do very well with roles completely suited to their personalities.<br /><br />Best acting role in the film however is Eduard Ciannelli as the guru, the head of the strangler cult. Note the fire and passion in his performance, he blows everyone else off the screen when he's on.<br /><br />Favorite scene in Gunga Din is Ciannelli exhorting his troops in their mountain temple. Note how Stevens progressively darkens the background around Ciannelli until all you see are eyes and teeth like a ghoulish Halloween mask. Haunting, frightening and very effective.<br /><br />It was right after the action of this film in the late nineteenth century that more and more of the British public started to question the underlying assumptions justifying the Raj. But that's the subject of Gandhi.<br /><br />Gunga Din is still a great film, entertaining and funny. It should be shown with A Passage to India and Gandhi and you can chart how the Indian independence movement evolved.",positive
31,"When I was 17 my high school staged Bye Bye Birdie - which is no great surprise, since it is perfect high school material and reputed to be the most-staged musical in the world.<br /><br />I was a music student and retained strong memories of the production and its songs, as well as a lingering disregard for the Dick Van Dyke movie version which had (deliberately) obscured the Elvis references and camped it up for a swinging 60s audience.<br /><br />So, when the 1995 version starring Jason Alexander hit my cable TV screen, I was delighted with what I saw. Alexander turns in an exceptional performance as Albert, a performance in strong contrast to his better-known persona from a certain TV series. The remainder of the cast are entertaining and convincing in their roles (Chynna Phillips is perhaps the only one who does not look her part, supposedly a naive and innocent schoolgirl).<br /><br />But best of all, the musical numbers familiar from the stage show are all preserved in this movie and performed as stage musical songs should be (allowing for the absence of a stage).<br /><br />So, if you know the musical (and few do not), then check out this telemovie. It does the stage show justice in a way which can probably not be bettered, which is good enough for me. What is better than rendering a writer's work faithfully and with colour and style?",positive
32,"If you want to know what kind of music white people listened to in 1974, this is the movie for you. But you'll have to listen to a lot of flutes and violins, too (see my remarks on My Girl 1 for the reference).<br /><br />Indulgent admission: I approached My Girl 2 with cynicism and annoyance, having just viewed its predecessor. But as an adoptee preparing to finally set upon a search for my birthmother, My Girl 2 made me look, with its theme of searching for mother.<br /><br />Put another way, anything I liked about My Girl 2 had nothing whatsoever to do with My Girl 2, but relating to a protagonist who asks, like so many adoptees, ""who's my mama""? And if there are home movies of my mom in an acting troupe, I'll be sure to make my own movie about it.<br /><br />People are listless. Movies should not be listless. My Girl 2 (like My Girl 1) is just...listless.<br /><br />Avoid unless you're a complete sap who's comforted by a series of small annoyances.",negative
33,"Wow! After the first five minutes of watching this ""film"", I was quite tempted to put a bullet in my brain, and end my life. It's really hard to describe what exactly this film is about. I honestly don't know what kind of human being would even finance a piece of excrement. The film looks to have either been shot on video or 16mm. I normally don't have a problem with SOV movies, are shoddily made 16mm films, but this was just so awful. And where did they find these ""actresses""? I have seen some bad acting, but this takes the cake. Watch the first 5 minutes and you'll see what I mean. BCI Entertainment should be boycotted for distributing this god awful sludge. This has to be the worst film I have ever had the displeasure of viewing. I want my 74 minutes back! If you are able to sit through the first 5 minutes, without either shooting your TV or committing mass homicide, then give a shot. After all, what have you got to lose?",negative
34,"OK the box look interesting, the opening have great music and its kinda original, to that its all OK. But when the movie start...well its not my first videoville movie, i watched Ghost Lake, and its very similar of this movie except its ever worse here. The story at first sounded interesting but the whole movie look like a movie shot by a bunch of university student, with specials effect that me laugh, the blood look like a mix of red and white paint, the fire effect on the demon face look like it was done with a program i could buy at my local computer shop. All the movie is shot in day(very great for a movie supposed to be horror) and there like no gore(1 scene only and it look so home-made and not credible) and near no blood(it can be considered a great thing considering the look of the blood show) and 1 demon for the whole movie. The story is going nowhere , it give you the impression that it never start, there so much useless scene done only to give the movie the average duration time(when the demon search the guy in the dogs thing for about 4 minutes...) Way too much slow-mo things. Well lets just say this movie is a Z-series one and a very poor one. All cool idea lost themselves and you get a cheesy movie. It bored my all long and I'm not the guy who get bored very easily with horror movie, man i even like house of the dead and alone in the dark from Uwe Boll and you probably know the name for being one of the worst director but here it look too much like some guys wanting to make a movie for fun. Plus for us french speaker(tough i understand English i prefer to watch movie in my native language) there the usual videoville bad translation. In normal movie you can barely see its not the actor speaking(you have to check on lips etc) here you just have to listen to it and you know it. Very cheesy",negative
35,"Rajkumar Santoshi tries his hands at comedy and succeeds. One of the few good movies that involves Salman Khan. A very funny movie from start to finish. All the characters contribute to the movie and believe me, there are a lot of them. Aamir Khan, Salman Khan, Raveena Tandon, Karishma Kapoor, Paresh Rawal, Viju Khote, Jagdip, Deven Verma, Shakti Kapoor, Harish Patel, Tiku Talsania and more. The direction, editing, sound are not up to par, but that still does not matter, because the actors more than make up for that part.",positive
36,"The powerhouse cast pulls the crowd in the theatre, despite the ominous title. Jake Gyllenhaal guested on Conan O'Brien to promote the movie and explained that 'Rendition' was a euphemism for obtaining information via torture. Since 9/11, 'extraordinary rendition' allowed the government's intelligence agency to extricate people unquestioningly without due process and use any means necessary in exchange for information.<br /><br />Gyllenhaal plays rookie CIA analyst Douglas Freeman (note the irony) who is torn about his assignment which renders him as a mere observer to unorthodox interrogation proceedings at an underground detention facility outside the US. <br /><br />Omar Metwally plays the suspected terrorist Anwar El-Ibrahimi, Egyptian national and green card-carrying hubby of American Isabella Fields El-Ibrahimi (Reese Witherspoon). Isabella and her son wait for Anwar to come home from a scientific conference when he suddenly disappears from the plane's passenger manifest. She seeks help from her college friend who works in government and learns that the Head of Intelligence, Corrine Whitman (Meryl Streep) is behind it all. <br /><br />Rendition is directed by Hollywood newbie Gavin Hood (who is set to do X-Men Origins: Wolverine), and begs the question of whether such 'extraordinary rendition' is exercised in real life. The movie was released locally in the wake of the Glorietta explosion (bombing/mishap?), and a pivotal scene in the movie is when a bomb explodes in a public plaza, so that must have sent chills up every moviegoer's spine. Seeing the exploding tableau with a lone red and yellow sign Aajala (Ayala?) on the upper right hand of the screen, plus the effect of silence and slow-moving images magnified the impact of the scene's real-life coincidence. <br /><br />There are lessons to learn from this movie and it all boils down to personal decisions we make, daily. We all have choices we can exercise at will, and we often do not always (want to) see how these affect others, who may end up as hapless victims of circumstance. What 'the greater good' is should not have to be a forced choice our leaders have to take if we each already decide correctly at the source. Now that's a utopia worth building.",positive
37,"If you are tired of films trying too hard to be fairy tales (the ""Pretty Woman"" variety love story), here is a beautiful film in which a Japanese businessman is pulled free from his robotic, dispassionate life when he falls in love...with dancing. Wonderfully drawn characters bring to life a story that is at once deeply funny and poignantly moving.",positive
38,"The Quick and the Undead is, finally, the first movie to actually render its own storyline null and void. It is, essentially, one gigantic plot hole.<br /><br />Aside from that, the acting was quite bad, character motivations nonexistent or unbelievable and there wasn't a single character worth hanging our hat on. The most interesting cast member (who had great potential to be a dark horse protagonist) got snuffed halfway through the proceedings.<br /><br />What the Quick and the Undead DOES serve as is an excellent example of how to do good color-timing. It looked excellent, when you take into account budget considerations.<br /><br />Unfortunately, it plays out like a guy got his hands on a hundred grand and watched a few westerns (most notably The Good, The Bad and The Ugly) and then just threw a bunch of elements haphazardly into a movie... ""you know, they have movies where characters do THIS! Does it fit here? No, but who cares! They do it in other movies so I should do it here!"" <br /><br />Maybe a good view for burgeoning cinematographers and colorists (first-year film-schoolers). Otherwise, a must-miss.",negative
